case,t_end,Tmax_K,dT_module_K,sigmaT_K,power_per_cell_W,E_in_J,E_stored_cells_J,E_stored_fluid_J,E_wall_J,energy_residual_pct,Courant_max,waived_gates,Qbar_mLmin,steps_per_period
td_steady_f0.00_A0.00_Q4_C3,899.9,304.688487,0.2537270000000262,0.1070727715585228,2.1070004566576555,11376.538265677344,1542.660236138537,1255.9828025006211,0.0,4.959916399025155,0.43007318,E1(ratio 0.9504): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,250.0005,
td_steady_f0.00_A0.00_Q5_C3,899.9,304.156511,0.4724170000000072,0.1896482005623954,2.1070004566576555,11376.538265677344,1361.034468585451,931.6718253082976,0.0,11.715109977248227,0.67332194,E1(ratio 0.8828): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,500.001,
td_sine_f0.10_A0.20_Q2_C3,899.9,305.099993,0.1830720000000383,0.0800265501618472,2.1070004566576555,11376.538265677344,1664.5411690484402,1523.9510635670315,0.0,2.546960349127947,0.52274504,,90.0002,799.9
td_sine_f0.10_A0.40_Q2_C3,899.9,305.098595,0.1869679999999789,0.0796358900740586,2.1070004566576555,11376.538265677344,1664.1734099781106,1523.0778355813802,0.0,2.5505127309686904,0.52620281,,90.0002,799.9
td_sine_f0.10_A0.60_Q2_C3,899.9,305.097675,0.1927380000000198,0.0821727854288746,2.1070004566576555,11376.538265677344,1663.4131345217188,1521.2793501372817,0.0,2.553461061801232,0.53046463,,90.0002,799.9
td_sine_f0.25_A0.20_Q2_C3,899.9,305.101319,0.1841919999999959,0.0817105902079886,2.1070004566576555,11376.538265677344,1663.9858379778275,1522.789072007172,0.0,2.561504374021717,0.52560433,,90.0002,320.0
td_sine_f0.25_A0.40_Q2_C3,899.9,305.106857,0.1862029999999777,0.0817803237011547,2.1070004566576555,11376.538265677344,1665.426188406967,1523.4281673650946,0.0,2.577695861712193,0.54882348,,90.0002,320.0
td_sine_f0.25_A0.60_Q2_C3,899.90342,304.499272,0.219865000000027,0.0900149121431559,2.1070006287385104,11376.582430463615,1503.7498107665374,994.2077830165986,0.0,2.6025118158698457,0.544346,,90.032,320.0
td_sine_f0.50_A0.20_Q2_C3,899.9,305.094448,0.1706619999999929,0.0752648506490321,2.1070004566576555,11376.538265677344,1663.7651241102635,1523.699587781688,0.0,2.550516851128648,0.52626368,,90.0002,160.0
td_sine_f0.50_A0.40_Q2_C3,899.9,305.140951,0.2332079999999905,0.0994878078902444,2.1070004566576555,11376.538265677344,1667.9901666839714,1524.3577606129331,0.0,2.569352276106507,0.52979881,,90.0002,160.0
td_sine_f0.50_A0.60_Q2_C3,899.9,305.139497,0.2384840000000281,0.0993546171263953,2.1070004566576555,11376.538265677344,1667.3250204811586,1522.7543856919417,0.0,2.602111407362606,0.52923587,,90.0002,160.0
td_sine_f1.00_A0.20_Q2_C3,899.9,305.148634,0.2335449999999923,0.0962410915473326,2.1070004566576555,11376.538265677344,1671.5399078911591,1524.7323728173385,0.0,2.5483088002874466,0.52794311,,90.0002,80.0
td_sine_f1.00_A0.40_Q2_C3,899.9,305.166023,0.2400920000000042,0.095811169139713,2.1070004566576555,11376.538265677344,1677.8316937685115,1526.3903786847602,0.0,2.573686946578291,0.5354531,,90.0002,80.0
td_sine_f1.00_A0.60_Q2_C3,899.9,305.167884,0.175861999999995,0.0748482192234177,2.1070004566576555,11376.538265677344,1684.1589824054072,1528.096078235685,0.0,2.6136245287750604,0.52919908,,90.0002,80.0
td_sine_f2.00_A0.20_Q2_C3,899.9,304.981012,0.2290840000000003,0.1020776616813593,2.1070004566576555,11376.538265677344,1622.706339871845,1337.669074841329,0.0,2.516666033503001,0.48178412,,90.0002,42.0
td_sine_f2.00_A0.40_Q2_C3,899.90476,305.207727,0.1567450000000008,0.0656545707355794,2.1070006961697523,11376.599734838845,1698.4168626023798,1556.485092926658,0.0,2.56281685975569,0.49728213,,90.1003,42.0
td_sine_f2.00_A0.60_Q2_C3,899.90476,305.192981,0.1457120000000031,0.0661260502594537,2.1070006961697523,11376.599734838845,1692.9390765823748,1553.0320702466013,0.0,2.620931009956695,0.52430194,,90.1504,42.0
td_square_f1.00_D0.25_Q2_C3,899.9,304.92179,0.1335960000000113,0.0536359162701608,2.1070004566576555,11376.538265677344,1620.9965946374982,1488.6811510944651,0.0,3.410641907259948,0.63632679,E1(ratio 0.9659): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,80.0
td_square_f0.50_D0.25_Q2_C3,899.9,304.934291,0.145277999999962,0.0591738002431988,2.1070004566576555,11376.538265677344,1624.620893614417,1489.2517409798063,0.0,3.2747541582079487,0.66005987,E1(ratio 0.9673): tight-duct early window not export-free (7mm ceiling current); ratio flat across 4.8x refinement = physical export not leak,90.0002,160.0
td_square_f0.50_D0.50_Q2_C3,899.9,305.020374,0.1540999999999712,0.0684343699296423,2.1070004566576555,11376.538265677344,1644.334602546438,1506.9643078463685,0.0,2.8132834963401465,0.53962753,,90.0002,160.0
td_square_f1.00_D0.50_Q2_C3,899.9,304.991908,0.1597679999999854,0.0688246793857779,2.1070004566576555,11376.538265677344,1636.2294897543136,1502.234828766272,0.0,2.8554819066847648,0.53220939,,90.0002,80.0
td_square_f1.00_D0.75_Q2_C3,899.9,305.032005,0.1505269999999541,0.0683019430998915,2.1070004566576555,11376.538265677344,1648.718127001905,1514.3576959353102,0.0,2.645757506141755,0.5536246,,90.0002,80.0
td_square_f0.50_D0.75_Q2_C3,899.9,305.064724,0.1738269999999602,0.07946163052152348,2.1070004566576555,11376.538265677345,1653.4024541998062,1516.0443180128634,0.0,2.644258474473471,0.57398218,,90.0002,160.0
